terms,pos,type,count
공정한,Adjective,김수남,1
공정한,Adjective,김종빈,1
공정한,Adjective,윤석열,3
공직,Noun,김준규,1
공직,Noun,김진태,1
공직자,Noun,김수남,1
공직자,Noun,김진태,1
공직자,Noun,정상명,1
공판,Noun,김진태,1
공표,Noun,채동욱,1
과,Josa,김수남,24
과,Josa,김종빈,31
과,Josa,김준규,8
과,Josa,김진태,21
과,Josa,문무일,10
과,Josa,윤석열,11
과,Josa,임채진,32
과,Josa,정상명,24
과,Josa,채동욱,28
과,Josa,한상대,10
과,Noun,김종빈,2
과감,Noun,김준규,1
과감,Noun,임채진,2
과거,Noun,김수남,1
과거,Noun,문무일,1
과거,Noun,윤석열,1
과거,Noun,채동욱,2
과도,Josa,김준규,1
과도,Noun,문무일,1
과연,Noun,정상명,1
과의,Josa,임채진,1
과의,Josa,정상명,3
과의,Josa,한상대,3
과잉,Noun,김진태,1
과잉,Noun,문무일,1
과잉,Noun,임채진,1
과잉,Noun,채동욱,1
과정,Noun,김수남,1
과정,Noun,김종빈,1
과정,Noun,김진태,2
과정,Noun,문무일,4
과정,Noun,윤석열,1
과정,Noun,임채진,1
과정,Noun,정상명,1
과정,Noun,채동욱,1
과제,Noun,김진태,1
과제,Noun,정상명,2
과학,Noun,김종빈,3
과학,Noun,임채진,1
관,Noun,채동욱,1
관계,Noun,문무일,1
관계,Noun,임채진,1
관계,Noun,정상명,1
관계,Noun,채동욱,1
관련,Noun,문무일,1
관련,Noun,윤석열,1
관료,Noun,임채진,1
관심,Noun,김진태,1
관심,Noun,임채진,2
관심,Noun,채동욱,1
관용,Noun,김준규,2
관점,Noun,윤석열,1
관해,Noun,윤석열,1
관행,Noun,김수남,1
관행,Noun,김종빈,1
관행,Noun,문무일,2
관행,Noun,임채진,3
관행,Noun,정상명,1
관행,Noun,채동욱,2
관행,Noun,한상대,1
괄목,Noun,김준규,1
교란,Noun,윤석열,1
교란,Noun,채동욱,1
교류,Noun,임채진,1
교류,Noun,채동욱,1
교만하지,Adjective,김수남,1
구,Modifier,정상명,1
구,Noun,임채진,1
구,Noun,정상명,1
구가,Noun,윤석열,1
구별,Noun,김진태,1
구성,Noun,채동욱,3
구성원,Noun,김수남,1
구성원,Noun,김종빈,1
구성원,Noun,김진태,5
구성원,Noun,문무일,1
구성원,Noun,정상명,2
구성원,Noun,채동욱,2
구심,Noun,임채진,1
구절,Noun,김진태,1
구제,Noun,김진태,2
구제,Noun,채동욱,1
구조,Noun,김수남,1
구조,Noun,김진태,2
구조,Noun,문무일,1
구조조정,Noun,임채진,1
구체,Noun,정상명,1
구축,Noun,김수남,1
구축,Noun,김종빈,1
구축,Noun,정상명,1
구축,Noun,채동욱,1
구축,Noun,한상대,1
구해,Noun,김수남,3
구현,Noun,정상명,1
구호,Noun,정상명,1
국가,Noun,김수남,3
국가,Noun,김종빈,1
국가,Noun,김준규,2
국가,Noun,김진태,7
국가,Noun,문무일,1
국가,Noun,임채진,1
국가,Noun,정상명,1
국가,Noun,채동욱,1
국가,Noun,한상대,7
국가경쟁력,Noun,김수남,1
국가경쟁력,Noun,채동욱,1
국경,Noun,한상대,1
국민,Noun,김수남,13
국민,Noun,김종빈,24
국민,Noun,김준규,7
국민,Noun,김진태,19
국민,Noun,문무일,17
국민,Noun,윤석열,24
국민,Noun,임채진,23
국민,Noun,정상명,24
국민,Noun,채동욱,17
국민,Noun,한상대,9
국민소득,Noun,김수남,1
국법,Noun,임채진,2
국회의원,Noun,김수남,1
군림,Noun,채동욱,1
굳건,Adjective,김진태,1
굳건,Adjective,정상명,1
굳건,Adjective,채동욱,2
굳고,Adjective,임채진,1
굽히는,Verb,임채진,1
권,Suffix,김종빈,4
권,Suffix,김진태,1
권,Suffix,임채진,6
권,Suffix,정상명,1
권,Suffix,한상대,1
권력,Noun,김종빈,4
권력,Noun,윤석열,4
권력,Noun,정상명,1
권력,Noun,채동욱,1
권리,Noun,김진태,3
권리,Noun,윤석열,1
권리,Noun,채동욱,1
권위,Noun,김진태,1
권위,Noun,문무일,1
권위,Noun,정상명,1
권위,Noun,채동욱,2
권익,Noun,김진태,1
권익,Noun,윤석열,4
권익,Noun,임채진,1
권한,Noun,김종빈,1
권한,Noun,윤석열,4
권한,Noun,임채진,1
권한,Noun,정상명,3
권한,Noun,채동욱,3
권한이므로,Verb,윤석열,1
귀,Noun,문무일,2
귀로,Noun,김수남,1
귀한,Adjective,김수남,1
규모,Noun,김수남,1
규모,Noun,김진태,1
규정,Noun,윤석열,1
규정,Noun,정상명,1
