terms,pos,type,count
고,Noun,2015,1
고,Noun,2017,1
고객,Noun,2007,2
고난,Noun,2005,1
고난,Noun,2009,1
고도,Noun,2008,1
고도화,Noun,2016,1
고려,Noun,2005,1
고려,Noun,2016,1
고려,Noun,2017,1
고르게,Verb,2020,1
고리,Noun,2009,1
고리,Noun,2010,1
고민,Noun,2015,1
고민,Noun,2016,1
고발,Noun,2017,1
고발,Noun,2019,1
고소,Noun,2017,1
고소,Noun,2019,1
고수,Noun,2014,1
고스,Noun,2015,1
고심,Noun,2009,2
고용,Noun,2009,1
고위,Noun,2017,1
고의,Noun,2012,1
고조,Noun,2014,1
고조,Noun,2015,1
고질,Noun,2010,1
고질,Noun,2011,1
고질,Noun,2014,1
고질,Noun,2015,1
고쳐,Verb,2006,1
고쳐,Verb,2013,1
고쳐,Verb,2019,1
고쳐야,Verb,2015,1
고통,Noun,2005,1
고통,Noun,2008,1
고통,Noun,2009,3
고통,Noun,2010,2
고통,Noun,2014,1
고통,Noun,2015,1
고통,Noun,2016,1
고통,Noun,2017,1
고하,Noun,2012,1
고하,Noun,2015,1
고하,Noun,2017,1
곤궁,Noun,2009,1
곧,Noun,2006,1
곧,Noun,2013,1
곧,Noun,2017,1
곳,Noun,2008,1
곳,Noun,2009,1
곳,Noun,2020,1
곳곳,Noun,2009,1
곳곳,Noun,2011,1
곳곳,Noun,2012,1
곳곳,Noun,2016,2
곳곳,Noun,2020,1
공,Modifier,2007,1
공,Modifier,2014,1
공,Modifier,2017,1
공,Modifier,2018,4
공,Modifier,2019,2
공,Noun,2007,1
공간,Noun,2019,1
공감,Noun,2007,1
공감,Noun,2009,1
공감,Noun,2011,1
공감,Noun,2017,1
공감,Noun,2020,1
공격,Noun,2015,1
공고,Noun,2009,1
공고,Noun,2017,1
공공,Modifier,2008,1
공공,Modifier,2014,1
공공,Modifier,2017,1
공공,Modifier,2018,1
공교,Noun,2013,1
공권력,Noun,2015,1
공동,Noun,2017,1
공동체,Noun,2013,1
공동체,Noun,2014,1
공동체,Noun,2015,3
공동체,Noun,2018,1
공론,Noun,2009,1
공명,Noun,2006,1
공명,Noun,2017,1
공명정대,Noun,2007,1
공명정대,Noun,2017,1
공무,Noun,2015,1
공무원,Noun,2005,4
공무원,Noun,2007,1
공무원,Noun,2008,1
공무원,Noun,2012,1
공무원,Noun,2013,3
공무원,Noun,2014,6
공무원,Noun,2015,6
공무원,Noun,2016,1
공무원,Noun,2017,1
공무원,Noun,2018,1
공무원,Noun,2019,1
공무원,Noun,2020,1
공백,Noun,2016,1
공소,Noun,2020,1
공안,Noun,2005,1
공익,Noun,2005,1
공익,Noun,2017,1
공정하게,Adjective,2006,1
공정하게,Adjective,2016,1
공정하게,Adjective,2017,3
공정하게,Adjective,2019,2
공정하고,Adjective,2009,1
